ability	Fähigkeit
ability to learn	Fähigkeit zu lernen
a bit	ein bisschen
able	imstande
able to do something	imstande etwas zu tun
aboard	an Bord
a book	ein Buch
about three o'clock	ungefähr um drei Uhr
about	ungefähr
above 100	mehr als 100
above-mentioned	obenerwähnt
above the trees	über den Bäumen
a bowl of milk	eine Schale Milch
a boy of matches	eine Schachtel Zündhölzer
abroad	ins Ausland
absence	Abwesenheit
absent	abwesend
absent-minded	geistesabwesend
absolutely necessary	unbedingt erforderlich
absolutely nothing	überhaupt nichts
absolutely	unbedingt
accept	annehmen
accept a present	ein Geschenk annehmen
accept a suggestion	eine Anregung annehmen
accident	Unfall
accompany	begleiten
accordingly	dementsprechend
according to	entsprechend
according to plan	plangemäß
account	Konto
accustomed to the cold	an die Kälte gewöhnt
ache	weh tun
achieve	zustandebringen
acid	sauer
a clean shirt	ein sauberes Hemd
a clever person	eine geschickte Person
a close friend	ein enger Freund
a cloth with a gray stripe	Tuch mit einem grauen Streifen
a coloured print	ein Farbendruck
a couple of	ein paar
acquainted	bekannt
acquire	erwerben
a criminal act	ein Verbrechen
across the road	über die Straße
across	über
a crowded room	ein überfüllter Raum
action	Handlung
active	aktiv
activity	Aktivität
actor	Schauspieler
actress	Schauspielerin
act	Tat
actual	tatsächlich
a curl of hair	eine Haarlocke
a day's journey	eine Tagereise
address	Adresse
add	zusammenzählen
a debt of ten pounds	eine Schuld von zehn Pfund
a deep meaning	eine tiefe Bedeutung
admiration	Bewunderung
admire	bewundern
admission	Zugang
admit	einlassen
adopt	adoptieren
adoption	Adoption
a drop of oil	ein Tropfen Öl
a dry book	ein trockenes Buch
a dry cloth	ein trockenes Tuch
a dry form of humour	eine trockene Art von Humor
a dull boy	ein unintelligenter Junge
a dull stream	ein träger Fluss
adult	Erwachsener
a Dutchman	ein Holländer
a Dutchwoman	eine Holländerin
advance of prices	Zunahme der Preise
advance	Zunahme
advantage	Vorteil
adventure	Abenteuer
advertise	annoncieren
advertisement	Zeitungsanzeige
advertising	Werbung
advice	Rat
advise	beraten
advised me well	beriet mich gut
a eager eye	ein scharfes Auge
a	einer
aeroplane	Flugzeug (Br.)
a faint smell	ein schwacher Geruch
a faithful copy	eine getreue Kopie
a fall in prices	ein Nachlassen der Preise
a familiar article	ein bekannter Artikel
a familiar friend	ein vertrauter Freund
a fat sheep	ein fettes Schaf
a few	ein paar
affair	Angelegenheit
afford a car	sich ein Auto leisten können
afford a holiday	sich einen Urlaub leisten können
a flat plain	eine flache Ebene
Africa	Afrika
African	afrikanisch
after hours	nach Stunden
after	nach (zeitlich)
afternoon	Nachmittag
after the meal	nach der Mahlzeit
afterwards	nachher
against a post	gegen einen Pfosten
against	gegen
again	wieder
a garden behind the house	ein Garten hinter dem Haus
a garden rake	ein Gartenrechen
age	Alter
aged	gealtert
agency	Vertretung
agent	Vertreter
a girl on each arm	ein Mädchen in jedem Arm
a good many	eine Menge
a grain of sand	ein Sandkorn
a great deal	sehr viel
a great many	sehr viele
agreement	Übereinstimmung
agree	übereinstimmen
agricultural	landwirtschaftlich
agriculture	Landwirtschaft
ahead	voraus
aid	Hilfe
aim at something	zielen (auf etwas)
aimless	ziellos
aim	Ziel
aircraft	Flugzeug
airline	Fluglinie
air	Luft
airmail	Luftpost
airplane	Flugzeug (Am.)
airport	Flugplatz
airtight	luftdicht
a just man	ein gerechter Mann
a knife to cut bread with	Messer zum Brotschneiden
a large family	eine große Familie
alarm	Alarm
alarm clock	Wecker
alcohol	Alkohol
alike	gleich
a line of print	eine Druckzeile
a little	etwas
a little house	ein Häuschen
alive	am Leben
all at once	sofort
all day	den ganzen Tag
all	ganz
all men	alle Leute
all men are equal	alle Menschen sind gleichwertig
all night long	die ganze Nacht
allowance	Taschengeld
allow	erlauben
all the peoples of the earth	alle Völker der Erde
all the peoples of the world	alle Völker der Welt
all through	durch und durch
almost always	fast immer
almost	fast
almost perfect	nahezu perfekt
a loaf of bread	ein Laib Brot
alone	allein
a long drop down	ein Tiefer Fall
along	entlang
along the road	die Straße entlang
a long time ago	vor langer Zeit
a lot of	eine Menge
aloud	laut
a lover of nature	ein Naturliebhaber
already	schon
also	auch
although	obwohl
altogether	völlig
a lucky person	ein glücklicher Mensch
always	immer
amazing	erstaunlich
am	bin
ambulance	Krankenwagen
a mean trick	ein fauler Trick
America	Amerika
American	amerikanisch
American Indian	Indianer
among friends	unter Freunden
amongst	zwischen
among	zwischen
amount	Betrag
amount to	sich belaufen auf
amuse	amüsieren
amusement	Vergnügen
amuse yourself	amüsier dich
an African tribe	ein afrikanischer Stamm
an apple	ein Apfel
a narrow escape	ein knappes Entkommen
a narrow road	eine schmale Straße
ancient	antik
and so forth	und so fort
and so on	und so weiter
and	und
and yet you have done nothing	und hast doch nichts getan
an earnest worker	ein ernsthafter Arbeiter
an easy life	ein bequemes Leben
an	einer
an electrical engineer	ein Elektroingenieur
an Englishman	ein Engländer
an English woman	eine Engländerin
anew	aufs Neue
an exact observer	ein scharfer und genauer Beobachter
angel	Engel
angels in heaven	Engel im Himmel
anger	Zorn
angry	zornig
animal	Tier
animal world	Tierwelt
an iron bar	eine Eisenstange
annoyance	Verärgerung
annoying	ärgerlich
annoy	verärgern
an oil drum	ein Ölfass
another man	ein anderer Mann
another	noch einer
answer	beantworten
anxiety	Furcht
anxious	verunsichert
anybody	jemand
anyhow	jedenfalls
any	irgendeiner
anyone	jemand
anything	etwas beliebiges
anyway	in jedem Falle
anywhere	irgendwo
a pale face	ein blasses Gesicht
apart	getrennt
a piece of furniture	ein Möbelstück
a pinch of salt	eine Prise Salz
a pleasant evening	ein angenehmer Abend
apologize	um Entschuldigung bitten
apology	Entschuldigung
appearance	Erscheinen
appear	scheinen
appetite	Appetit
applaud	applaudieren
applause	Applaus
apple	Apfel
application	Bewerbung
apply	anwenden
