a barber; hairdressing	理发 lǐ fà 
ability; competence	才干 cái gàn 
ability; skill; source material; original story	本事 běn shi 
able; capable; competent; efficient	得力 dé lì 
a boat; vessel; ship; CL:条[tiao2] ,艘[sou1] ,只[zhi1]	船 chuán 
a bonus; to award a bonus	分红 fēn hóng 
absence; absent	缺席 quē xí 
absolutely unrestrained; unbridled; without the slightest scruple	肆无忌惮 sì wú jì dàn 
absolute; unconditional	绝对 jué duì 
abstract	抽象 chōu xiàng 
absurd; ridiculous	荒谬 huāng miù 
abundant; affluent; richness; affluence	富裕 fù yù 
abundant; plentiful; vigorous	充沛 chōng pèi 
academic degree; e.g.: BSc 学士学位[xue2 shi4 xue2 wei4] , MSc 硕士学位[shuo4 shi4 xue2 wei4] , Diploma 学位证书[xue2 wei4 zheng4 shu1] , PhD 博士学位[bo2 shi4 xue2 wei4]	学位 xué wèi 
accent	口音 kǒu yīn 
accident; CL:桩[zhuang1] ,起[qi3] ,次[ci4]	事故 shì gù 
accomplishment; success; attain a result; achievement; CL:个	成就 chéng jiù 
accomplishment; training; self-cultivation	修养 xiū yǎng 
according to; based on; basis; foundation; CL:个	根据 gēn jù 
according to; basis; foundation	依据 yī jù 
according to; in accordance with; in the light of; on the basis of	按照 àn zhào 
according to; in accordance with; to shine; to illuminate; to reflect; to look at (one's reflection); to take (a photo); photo; as requested; as before;	照 zhào 
according to reports; it is reported (that)	据悉 jù xī 
accountant; accountancy; accounting	会计 kuài jì 
account (bank or online)	账户 zhàng hù 
accuracy; exact; precise; refined	精密 jīng mì 
accurate; exact; precise	准确 zhǔn què 
accurate; precise	精确 jīng què 
a certain number or amount; how many?; how much?	若干 ruò gān 
a certain; sb or sth indefinite; some; such-and-such	某 mǒu 
achievement; performance records; grades; CL:项[xiang4] ,个	成绩 chéng jì 
a column (in a newspaper or on a news website)	栏目 lán mù 
a congregation; to gather; a set	集合 jí hé 
a course of lectures; CL:个	讲座 jiǎng zuò 
acrobatics; CL:场[chang3]	杂技 zá jì 
act; action; activity; move; movement	举动 jǔ dòng 
act against one's will; have no alternative but to; have to; to have no choice; must	不得已 bù dé yǐ 
action; to move; operation; mobile; CL:个	行动 xíng dòng 
active; energetic; vigorous; positive (outlook); proactive	积极 jī jí 
active; vigorous	活跃 huó yuè 
actor or actress; performer; CL:个,位[wei4] ,名[ming2]	演员 yǎn yuán 
actually; in fact; really	其实 qí shí 
actual; reality; practice	实际 shí jì 
acute (of sight and hearing); clever; intelligent; bright; smart	聪明 cōng ming 
a danger concealed within sth; hidden damage; misfortune not visible from the surface	隐患 yǐn huàn 
additional; in addition; besides; separate; other; moreover; furthermore	另外 lìng wài 
address; CL:个	地址 dì zhǐ 
add to; increase	增添 zēng tiān 
a decade of a century (e.g. the Sixties); age; era; period; CL:个	年代 nián dài 
a defect; a flaw	缺陷 quē xiàn 
a delight to see (idiom); an attractive spectacle	喜闻乐见 xǐ wén lè jiàn 
adequate; sufficient; abundant	充足 chōng zú 
a dispute; entanglement (law)	纠纷 jiū fēn 
adjustment; revision; CL:个	调整 tiáo zhěng 
administration; administrative	行政 xíng zhèng 
admire	佩服 pèi fú 
admittedly (it's true that...)	固然 gù rán 
