afternoon; p.m.; CL:个[ge4]	下午 xià wǔ 
ahead; in front; preceding; above	前面 qián miàn 
airplane; CL: 架[jia4]	飞机 fēi jī 
a little; a bit; drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities	点 diǎn 
a little (bit)	一点儿 yī diǎn er 
all, both; entirely (due to) each; even; already	都 dōu 
and; together with; with; sum; union; peace; harmony; surname He	和 hé 
apple; CL:个[ge4] ,颗[ke1]	苹果 píng guǒ 
Beijing; capital of People's Republic of China; Peking; PRC government	北京 běi jīng 
big; huge; large; major; great; wide; deep; oldest; eldest	大 dà 
book; letter; CL:本[ben3] ,册[ce4] ,部[bu4]; see also Book of History	书 shū 
can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; a moment (Taiwan pr. for this sense is hui3)	会 huì 
cat; CL:只[zhi1]	猫 māo 
chair; CL:把[ba3] ,套[tao4]	椅子 yǐ zi 
China; Middle Kingdom	中国 zhōng guó 
Chinese language	汉语 hàn yǔ 
classifier for people or objects in general; individual; this; that; size	个 gè 
classifier for years (of age); year; year (of crop harvests)	岁 suì 
clothes; CL:件[jian4] ,套[tao4]	衣服 yī fu 
coin; money; CL:笔[bi3]	钱 qián 
cold	冷 lěng 
(completed action marker); (modal particle intensifying preceding clause)	了 le 
computer; CL:台[tai2]	电脑 diàn nǎo 
(cooked) rice	米饭 mǐ fàn 
cup; glass; CL:个[ge4] ,支[zhi1]	杯子 bēi zi 
daughter	女儿 nǚ ér 
day of a month; (suffix used after) name of a ship; (ordinal) number	号 hào 
dish (type of food); vegetables; vegetable; cuisine; CL:盘[pan2] ,道[dao4]	菜 cài 
doctor; CL:个[ge4] ,位[wei4] ,名[ming2]	医生 yī shēng 
dog; CL:只[zhi1] ,条[tiao2]	狗 gǒu 
down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down	下 xià 
eight; 8	八 bā 
father (informal); CL:个[ge4] ,位[wei4]	爸爸 bà ba 
(fellow) classmate; CL:位[wei4] ,个[ge4]	同学 tóng xué 
few; little; lack	少 shǎo 
five; 5	五 wǔ 
four; 4	四 sì 
friend; CL:个[ge4] ,位[wei4]	朋友 péng you 
fruit	水果 shuǐguǒ 
goodbye; see you again later	再见 zài jiàn 
good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness)	好 hǎo 
happy; glad; willing (to do sth); in a cheerful mood	高兴 gāo xìng 
haven't; hasn't; doesn't exist; to not have; to not be;	没有 méi yǒu 
heat; to heat up; fervent; hot (of weather); warm up	热 rè 
hello (interj., esp. on telephone); hey	喂 wèi 
he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another	他 tā 
home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:个[ge4]	家 jiā 
hospital; CL:所[suo3] ,家[jia1] ,座[zuo4]	医院 yī yuàn 
how are things? how?; how about?; how was it?	怎么样 zěn me yàng 
how much; how many; several; a few	几 jǐ 
how much; how many	多少 duō shǎo 
how?; what?; why?	怎么 zěn me 
I; me; my	我 wǒ 
I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat); unworthy; to let down;	对不起 duì bu qǐ 
inside; lining; interior; internal	里 lǐ 
it doesn't matter	没关系 méi guān xi 
job; work; construction; task; CL:个[ge4] ,份[fen4] ,项[xiang4]	工作 gōng zuò 
letter; character; word; symbol; CL:个[ge4]	字 zì 
(located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress)	在 zài 
man; person; people; CL:个[ge4] ,位[wei4]	人 rén 
many; much; a lot of; numerous; multi-	多 duō 
minute	分钟 fēn zhōng 
Mister (Mr.); husband; doctor (topolect); teacher; CL:个[ge4] ,位[wei4]	先生 xiān sheng 
month; moon; CL:个[ge4] ,轮[lun2]	月 yuè 
morning; CL:个[ge4]	上午 shàng wǔ 
movie; film; CL:部[bu4] ,幕[mu4] ,场[chang3]	电影 diàn yǐng 
mum; mama; mommy; mother; CL:个[ge4] ,位[wei4]	妈妈 mā ma 
name (of a person or thing); CL:个[ge4]	名字 míng zi 
nine; 9	九 jiǔ 
noon; midday; CL:个[ge4]	中午 zhōng wǔ 
not (negative prefix); no	不 bù 
now; at present; at the moment; modern; current; nowadays	现在 xiàn zài 
of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive	的 de 
one; 1; single; a (article); as soon as; entire; whole; all; throughout; 'one' radical in Chinese characters (Kangxi radical 1)	一 yī 
on	上 shàng 
origin; source; roots or stems of plants; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally	本 běn 
pretty; beautiful	漂亮 piào liang 
(question particle for subjects already mentioned)	呢 ne 
(question tag)	吗 ma 
rear; back; behind; later; afterwards	后面 hòu miàn 
restaurant; hotel; CL:家[jia1],個|个[ge4];	饭店 fàn diàn 
school; CL:所[suo3]	学校 xué xiào 
seven; 7	七 qī 
she	她 tā 
six; 6	六 liù 
small; tiny; young	小 xiǎo 
some; few; several; (a measure word)	些 xiē 
son	儿子 ér zi 
store; shop; CL:家[jia1] ,个[ge4]	商店 shāng diàn 
student; school child	学生 xué sheng 
table; desk; CL:张[zhang1] ,套[tao4]	桌子 zhuō zi 
taxi	出租车 chū zū chē 
teacher; CL:个[ge4] ,位[wei4]	老师 lǎo shī 
tea; tea plant; CL:杯[bei1] ,壶[hu2]	茶 chá 
television; TV; CL:台[tai2] ,个[ge4]	电视 diàn shì 
ten; 10	十 shí 
that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing;	那 nà 
thing; stuff; person; CL:个[ge4] ,件[jian4]	东西 dōng xi 
this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing);	这 zhè 
three; 3	三 sān 
