affair; matter; thing; business	事情 shì qing 
again; once more; re-; second; another; then (after sth, and not until then)	再 zài 
airport; airfield; CL:家[jia1] ,处[chu4]	机场 jī chǎng 
already	已经 yǐ jīng 
also; too; (in classical Chinese) final particle serving as copula	也 yě 
although…still…; even if…nevertheless...	虽然…但是… suī rán …dàn shì … 
assistance; aid; to help; to assist	帮助 bāng zhù 
because… thus…; on account of…then…	因为…所以… yīn wèi …suǒ yǐ … 
birthday; CL:个	生日 shēng rì 
black; dark; abbr. for Heilongjiang 黑龙江 province in northeast China	黑 hēi 
bus; CL:辆[liang4] ,班[ban1]	公共汽车 gōng gòng qì chē 
(business) company; company; firm; corporation; incorporated; CL:家[jia1]	公司 gōng sī 
busy; hurriedly	忙 máng 
can; may; possible; able to	可以 kě yǐ 
cell phone; cellular phone; mobile phone; CL:部[bu4]	手机 shǒu jī 
cheap; inexpensive; small advantages; to let sb off lightly	便宜 pián yi 
(chicken) egg; hen's egg; CL:个,打[da2]	鸡蛋 jī dàn 
child	孩子 hái zi 
classroom; CL:间[jian1]	教室 jiào shì 
clear; fine (weather)	晴 qíng 
coffee; CL:杯[bei1]	咖啡 kā fēi 
color; CL:个	颜色 yán sè 
cow's milk; CL:瓶[ping2] ,杯[bei1]	牛奶 niú nǎi 
day; day of the month; date; sun; abbr. for 日本 Japan	日 rì 
do not; must not; to pin; to leave; to depart; to separate; to distinguish; to classify; other; another	别 bié 
each; every	每 měi 
early morning; Good morning!; CL:个	早上 zǎo shang 
everyone	大家 dà jiā 
exam; CL:次[ci4]	考试 kǎo shì 
expensive; noble; your (name); precious	贵 guì 
extraordinary; unusual; extreme; very; exceptional	非常 fēi cháng 
eye; CL:只[zhi1] ,双[shuang1]	眼睛 yǎn jing 
family name; surname; name; CL:个	姓 xìng 
far; distant; remote	远 yuǎn 
female; woman; daughter;	女 nǚ 
first; number one	第一 dì yī 
fish; CL:条[tiao2] ,尾[wei3]	鱼 yú 
for what reason?; why?	为什么 wèi shén me 
from; via; passing through; through	从 cóng 
gate; doo; gateway; doorway; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technologyr; CL:个, 扇[shan4]	门 mén 
guesthouse; CL:个,家[jia1]	宾馆 bīn guǎn 
happy; merry	快乐 kuài lè 
high; tall; above average; loud; your (honorific); surname Gao	高 gāo 
hour; CL:个	小时 xiǎo shí 
(human) body; health; CL:个	身体 shēn tǐ 
hundred; numerous; all kinds of; surname Bai	百 bǎi 
husband; CL:个	丈夫 zhàng fu 
idea; opinion; meaning; wish; desire; CL:个	意思 yì si 
in the evening; CL:个	晚上 wǎn shang 
in the process of (doing something or happening); while (doing)	正在 zhèng zài 
item; component; classifier for events, things, clothes etc	件 jiàn 
it (inanimate thing or animal)	它 tā 
just (emphasis); at once; right away; only; as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning	就 jiù 
last year	去年 qù nián 
lateral; side; to the side; beside	旁边 páng biān 
laugh; smile; CL:个	笑 xiào 
(lead) pencil; CL:支[zhi1] ,枝[zhi1] ,杆[gan3]	铅笔 qiān bǐ 
left; the left side; to the left of	左边 zuǒ bian 
long; length	长 cháng 
male; Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; CL:個|个[ge4];	男 nán 
medicine; drug; cure; CL:种[zhong3] ,服[fu4]	药 yào 
might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:个	可能 kě néng 
mistake; error; blunder; fault; cross; uneven; wrong; CL:个	错 cuò 
modal particle indicating polite suggestion;...right?;...OK?	吧 ba 
most; the most; -est	最 zuì 
movement; campaign; sports; CL:场[chang3]	运动 yùn dòng 
mutton	羊肉 yáng ròu 
near; close to; approximately	近 jìn 
new; newly; meso- (chemistry)	新 xīn 
newspaper; newsprint; CL:份[fen4] ,期[qi1] ,张[zhang1]	报纸 bào zhǐ 
next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time	次 cì 
noodles	面条 miàn tiáo 
older brother; CL:个,位[wei4]	哥哥 gē ge 
older sister; CL:个	姐姐 jiě jie 
outside; in addition; foreign; external	外 wài 
overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia	阴 yīn 
particle attached after verb to indicate action in progress, like -ing ending	着 zhe 
particle used for comparison and '-er than'; to compare; to contrast; to gesture (with hands); ratio	比 bǐ 
play basketball	打篮球 dǎ lán qiú 
play soccer (football)	踢足球 tī zú qiú 
preparation; prepare	准备 zhǔn bèi 
question; problem; issue; topic; CL:个	问题 wèn tí 
rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant	快 kuài 
really; truly; indeed; real; true; genuine	真 zhēn 
red; bonus; popular; revolutionary	红 hóng 
rest; to rest	休息 xiū xi 
right; correct	对 duì 
right side; right, to the right	右边 yòu bian 
road; path; way; CL:条[tiao2]	路 lù 
room; CL:间[jian1]	房间 fáng jiān 
slow	慢 màn 
snow; snowfall; to have the appearance of snow; to wipe away, off or out; to clean CL:场[chang2]	雪 xuě 
still; yet; even more; still more; also; too; as well	还 hái 
structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc;	得 de 
subject; course; class; lesson; CL:堂[tang2] ,节[jie2] ,门[men2]	课 kè 
swim	游泳 yóu yǒng 
tasty; delicious	好吃 hǎo chī 
thousand	千 qiān 
ticket; ballot; bank note; person held for ransom; amateur performance of Chinese opera; classifier for shipments and business transactions (topolect); CL:张[Zhang1]	票 piào 
time; period; CL:段[duan4]	时间 shí jiān 
tired; weary; to strain; to wear out; to work hard	累 lèi 
to (a place); until (a time); up to; to go; to arrive	到 dào 
to ask	问 wèn 
to begin; beginning; to start; initial; CL:个	开始 kāi shǐ 
to dance	跳舞 tiào wǔ 
to deliver; to carry; to give (as a present); to present (with); to see off; to send	送 sòng 
to enter; to advance; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal	进 jìn 
to fall ill; to sicken	生病 shēng bìng 
to finish; to be over; whole; complete; entire	完 wán 
together; in the same place; with; altogether (in total)	一起 yī qǐ 
to get up	起床 qǐ chuáng 
to go (in a direction); to; towards; (of a train) bound for; past; previous	往 wǎng 
to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc	出 chū 
to go to work; to be on duty; to start work; to go to the office	上班 shàng bān 
to know; to be aware of	知道 zhī dào 
to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old)	离 lí 
