a barber; hairdressing	理发 lǐ fà 
according to; in accordance with; in the light of; on the basis of	按照 àn zhào 
according to; in accordance with; to shine; to illuminate; to reflect; to look at (one's reflection); to take (a photo); photo; as requested; as before;	照 zhào 
accurate; exact; precise	准确 zhǔn què 
active; energetic; vigorous; positive (outlook); proactive	积极 jī jí 
actor or actress; performer; CL:个,位[wei4] ,名[ming2]	演员 yǎn yuán 
actual; reality; practice	实际 shí jì 
additional; in addition; besides; separate; other; moreover; furthermore	另外 lìng wài 
address; CL:个	地址 dì zhǐ 
a dream; an ideal; perfection; ideal; perfect; desirable; CL:个	理想 lǐ xiǎng 
after all (when all is said and done); actually; outcome; result	究竟 jiū jìng 
again; once more; re-	重新 chóng xīn 
agonize; agony; annoyance; upset; vexation; worries	烦恼 fán nǎo 
a great deal of; many; a lot of; much	许多 xǔ duō 
air; atmosphere	空气 kōng qì 
a little bit	稍微 shāo wēi 
all; to possess; to have; to own	所有 suǒ yǒu 
almost; nearly; more or less	差不多 chà bu duō 
along with; in the wake of; following	随着 suí zhe 
always; at all times; never (if used in negative sentence)	从来 cóng lái 
among; in; included among these	其中 qí zhōng 
(an official) standard; norm; criterion; CL:个	标准 biāo zhǔn 
answer; solution; CL:个	答案 dá àn 
any; whatever; whichever; whatsoever	任何 rèn hé 
(a person's) age; CL:把[ba3] ,个	年龄 nián líng 
a place to sit; CL:个	座位 zuò wèi 
appointment; engagement; date; CL:次[ci4] ,个	约会 yuē huì 
approximately; about; left and right; around; (dial.) anyway	左右 zuǒ yòu 
approximately; about	大约 dà yuē 
a relative (i.e. family relation); CL:门[men2] ,个,位[wei4]	亲戚 qīn qi 
arm; CL:只[zhi1] ,条[tiao2] ,双[shuang1]	胳膊 gē bo 
arrogant; full of oneself; conceited; proud of sth; CL:个	骄傲 jiāo ào 
art; CL:种[zhong3]	艺术 yì shù 
article; essay; literary works; writings; hidden meaning; CL:篇[pian1] ,段[duan4] ,页[ye4]	文章 wén zhāng 
Asia; Asian	亚洲 yà zhōu 
as if; to seem like	好像 hǎo xiàng 
as one wishes; as one pleases; at random; negligent; casual; wanton	随便 suí biàn 
a stick; club or cudgel; smart; capable; strong; wonderful; classifier for legs of a relay race	棒 bàng 
at ease; free from affectation; natural	自然 zì rán 
a time; everywhere; turn; all over; one time	遍 biàn 
at least; (to say the) least	至少 zhì shǎo 
at the same time; simultaneously	同时 tóng shí 
author; CL:個|个[ge4],位[wei4];	作家 zuò jiā 
award money; premium; a bonus	奖金 jiǎng jīn 
background; bottom; base; the end of a period of time; towards the end of (last month)	底 dǐ 
badminton; shuttlecock; CL:个	羽毛球 yǔ máo qiú 
base; foundation; basis; underlying; CL:个	基础 jī chǔ 
bathroom; toilet; WC; CL:间[jian1]	卫生间 wèi shēng jiān 
beautiful	美丽 měi lì 
Beijing opera; CL:场[chang3] ,出[chu1]	京剧 jīng jù 
belly; abdomen; stomach; CL:个	肚子 dù zi 
benefit; advantage; gain; profit; also pronounced hao3 chu4; CL:个	好处 hǎo chu 
best; (you) had better (do what we suggest)	最好 zuì hǎo 
biscuit; cracker; cookie; CL:片[pian4] ,块[kuai4]	饼干 bǐng gān 
bitter; hardship; pain; to suffer; painstaking	苦 kǔ 
blush; shy	害羞 hài xiū 
boarding pass	登机牌 dēng jī pái 
botanical; plant; vegetation; CL:种[zhong3]	植物 zhí wù 
box	盒子 hé zi 
brave; courageous	勇敢 yǒng gǎn 
bridge; CL:座[zuo4]	桥 qiáo 
broadcast; widely spread; CL:个	广播 guǎng bō 
