absolute; unconditional	绝对 jué duì 
abstract	抽象 chōu xiàng 
accomplishment; success; attain a result; achievement; CL:个	成就 chéng jiù 
accountant; accountancy; accounting	会计 kuài jì 
account (bank or online)	账户 zhàng hù 
a certain; sb or sth indefinite; some; such-and-such	某 mǒu 
a congregation; to gather; a set	集合 jí hé 
a course of lectures; CL:个	讲座 jiǎng zuò 
action; to move; operation; mobile; CL:个	行动 xíng dòng 
active; vigorous	活跃 huó yuè 
a decade of a century (e.g. the Sixties); age; era; period; CL:个	年代 nián dài 
adjustment; revision; CL:个	调整 tiáo zhěng 
admire	佩服 pèi fú 
a drop; to drip	滴 dī 
adult;	成人 chéng rén 
advantageous; to have advantages; favorable	有利 yǒu lì 
a fact; the fact that; CL:个	事实 shì shí 
after all; all in all; when all is said and done; in the final analysis	毕竟 bì jìng 
age; era; epoch; period; CL:个	时代 shí dài 
a given day (calendar); days of one's life; time	日子 rì zi 
agriculture; farming	农业 nóng yè 
a hundred million; 100,000,000; many	亿 yì 
a lesson; a moral; to chide sb; to lecture sb	教训 jiào xun 
all-around; comprehensive; total; overall	全面 quán miàn 
a loan; to provide a loan (e.g. bank); CL:笔[bi3]	贷款 dài kuǎn 
altogether; in sum; in all; in total	总共 zǒng gòng 
amazing; terrific; extraordinary	了不起 liǎo bu qǐ 
ambulance; CL:辆[liang4]	救护车 jiù hù chē 
amiable; friendliness; gracious; hospitality; intimate; cordial; kind; close and dear; familiar	亲切 qīn qiè 
ancient times; olden times	古代 gǔ dài 
an exit; to speak; to export; (of a ship) to leave port; CL:个	出口 chū kǒu 
angle; point of view	角度 jiǎo dù 
apartment building; block of flats; CL:套[tao4]	公寓 gōng yù 
a period in time or history; period; time (interval); phase; CL:个	时期 shí qī 
a person; a character (in a play, novel etc); a protagonist; CL:个	人物 rén wù 
a person's preferences; tastes (in food); flavor	口味 kǒu wèi 
a person's talent; talented person; distinguished person; a talent (worth head-hunting); person's looks; an attractive woman; used interchangeably with 人材; CL:个	人才 rén cái 
apex; crown of the head; top; roof; to carry on the head; to push to the top; to go against; most; to replace; to substitute; classifier for headwear, hats, veils etc; to agree or support (internet slang, similar to digg)	顶 dǐng 
apparently; to seem; to appear; as if; seemingly	似乎 sì hū 
appearance; phenomenon; CL:个	现象 xiàn xiàng 
appetite	胃口 wèi kǒu 
a public square (e.g. Tiananmen Square); plaza; CL:个	广场 guǎng chǎng 
a question; something not understood; to query; interrogative (gramm.); CL:个	疑问 yí wèn 
arduous; terrible (task); very difficult; formidable	艰巨 jiān jù 
art; fine arts; painting; CL:种[zhong3]	美术 měi shù 
articles for daily use; CL:件[jian4] ,个	日用品 rì yòng pǐn 
as before; still	依然 yī rán 
as for; as to; to go so far as to	至于 zhì yú 
ashamed; be ashamed	惭愧 cán kuì 
ash; dust; lime; gray; discouraged; dejected	灰 huī 
askew; at a crooked angle; devious; noxious	歪 wāi 
as much as possible; to the greatest extent	尽量 jìn liàng 
as quickly as possible; as soon as possible; with all speed	尽快 jǐn kuài 
as well as; too; and	以及 yǐ jí 
at any time	随时 suí shí 
at long last; finally; on the whole	总算 zǒng suàn 
atmosphere; mood	气氛 qì fēn 
at the instant sth happens; temporary; interim; ad hoc	临时 lín shí 
at the present time; currently	目前 mù qián 
authority; power	权力 quán lì 
automatic; voluntarily	自动 zì dòng 
average; on average; evenly; in equal proportions	平均 píng jūn 
awful; dreadful; fearful; formidable; frightful; scary; hideous; horrible; terrible; terribly	可怕 kě pà 
background; backdrop; context; CL:种[zhong3]	背景 bèi jǐng 
back of neck; thing; item; classifier for principles, items, clauses, tasks, research projects	项 xiàng 
balance; equilibrium	平衡 píng héng 
balcony; porch	阳台 yáng tái 
bamboo; CL:棵[ke1] ,支[zhi1] ,根[gen1]	竹子 zhú zi 
banquet; feast; dinner party; CL:席[xi2] ,个	宴会 yàn huì 
bar; pub; saloon; CL:家[jia1]	酒吧 jiǔ bā 
basic; fundamental; main; elementary	基本 jī běn 
basin; flower pot; unit of volume equal to 12 斗 and 8 升, approx 128 liters; CL:个	盆 pén 
battery charger	充电器 chōng diàn qì 
battery; CL:节[jie2] ,组[zu3]	电池 diàn chí 
beach; sand bar; CL:片[pian4]	沙滩 shā tān 
bedroom; CL:间[jian1]	卧室 wò shì 
bee; honeybee; CL:只[zhi1] ,群[qun2]	蜜蜂 mì fēng 
be good at; be adept in	善于 shàn yú 
behavior; conduct; activity; action	行为 xíng wéi 
benefit; (in sb's) interest; CL:个	利益 lì yì 
besides; in addition; moreover; furthermore	此外 cǐ wài 
between-meal nibbles; snacks	零食 líng shí 
bilateral; both sides; both parties involved	双方 shuāng fāng 
blessings; wish well	祝福 zhù fú 
blind; groundlessly; foolishly; to no purpose	瞎 xiā 
blood; CL:滴[di1] ,片[pian4]	血 xuè 
boiled water; boiling water	开水 kāi shuǐ 
bone; strong character; CL:根[gen1] ,块[kuai4]	骨头 gǔ tou 
booklet; book; classifier for books	册 cè 
bookshelf; CL:个	书架 shū jià 
boss; keeper	老板 lǎo bǎn 
bright; clear; resonant; to shine; to show; to reveal	亮 liàng 
bright-colored; gaily-colored	鲜艳 xiān yàn 
building; to construct; Taiwan pr. jian4 zhu2; CL:个	建筑 jiàn zhù 
(business) card	名片 míng piàn 
(business) contract; CL:个	合同 hé tong 
(business etc) as usual	照常 zhào cháng 
business; trade; commerce	商业 shāng yè 
butterfly; CL:只[zhi1]	蝴蝶 hú dié 
by oneself; alone; on one's own	单独 dān dú 
calendar; CL:张[zhang1] ,本[ben3]	日历 rì lì 
cannot help; unable to bear	忍不住 rěn bu zhù 
can't say for sure; maybe	说不定 shuō bu dìng 
capable; competent	能干 néng gàn 
caption; subtitle	字幕 zì mù 
carpet; rug	地毯 dì tǎn 
carriage; CL:节[jie2]	车厢 chē xiāng 
cartoon; animation	动画片 dòng huà piān 
catalog; table of contents; directory (on computer hard drive); list; contents	目录 mù lù 
