ability; competence	才干 cái gàn 
ability; skill; source material; original story	本事 běn shi 
able; capable; competent; efficient	得力 dé lì 
a bonus; to award a bonus	分红 fēn hóng 
absence; absent	缺席 quē xí 
absolutely unrestrained; unbridled; without the slightest scruple	肆无忌惮 sì wú jì dàn 
absurd; ridiculous	荒谬 huāng miù 
abundant; affluent; richness; affluence	富裕 fù yù 
abundant; plentiful; vigorous	充沛 chōng pèi 
academic degree; e.g.: BSc 学士学位[xue2 shi4 xue2 wei4] , MSc 硕士学位[shuo4 shi4 xue2 wei4] , Diploma 学位证书[xue2 wei4 zheng4 shu1] , PhD 博士学位[bo2 shi4 xue2 wei4]	学位 xué wèi 
accent	口音 kǒu yīn 
accident; CL:桩[zhuang1] ,起[qi3] ,次[ci4]	事故 shì gù 
accomplishment; training; self-cultivation	修养 xiū yǎng 
according to; basis; foundation	依据 yī jù 
according to reports; it is reported (that)	据悉 jù xī 
accuracy; exact; precise; refined	精密 jīng mì 
accurate; precise	精确 jīng què 
a certain number or amount; how many?; how much?	若干 ruò gān 
a column (in a newspaper or on a news website)	栏目 lán mù 
acrobatics; CL:场[chang3]	杂技 zá jì 
act; action; activity; move; movement	举动 jǔ dòng 
act against one's will; have no alternative but to; have to; to have no choice; must	不得已 bù dé yǐ 
a danger concealed within sth; hidden damage; misfortune not visible from the surface	隐患 yǐn huàn 
add to; increase	增添 zēng tiān 
a defect; a flaw	缺陷 quē xiàn 
a delight to see (idiom); an attractive spectacle	喜闻乐见 xǐ wén lè jiàn 
adequate; sufficient; abundant	充足 chōng zú 
a dispute; entanglement (law)	纠纷 jiū fēn 
administration; administrative	行政 xíng zhèng 
admittedly (it's true that...)	固然 gù rán 
advanced (technology); to advance	先进 xiān jìn 
adviser; consultant	顾问 gù wèn 
(a feeling of) shame	羞耻 xiū chǐ 
affectionate; intimate; warm-hearted	亲热 qīn rè 
a foot's move sways the balance (idiom); to hold the balance of power; to play the decisive role	举足轻重 jǔ zú qīng zhòng 
after one's heart (idiom); gratifying and satisfactory; everything one could wish	称心如意 chèn xīn rú yì 
agreement; pact; protocol; CL:项[xiang4]	协议 xié yì 
a heavy load and a long road; fig. to bear heavy responsibilities through a long struggle (cf Confucian Analects, 8.7)	任重道远 rèn zhòng dào yuǎn 
a hybrid	杂交 zá jiāo 
alarm; alert; disturb	惊动 jīng dòng 
alcohol; ethanol CH3CH2OH; ethyl alcohol; also written 乙醇; grain alcohol	酒精 jiǔ jīng 
a list; to list; to enumerate	列举 liè jǔ 
all along; the whole time; constantly; earlier; lately	一向 yí xiàng 
all; each and every; in all cases	皆 jiē 
alliance; union; coalition	联盟 lián méng 
all of a sudden; hurriedly	仓促 cāng cù 
all over; from head to foot	浑身 hún shēn 
almost; nearly; close to	将近 jiāng jìn 
aloof; indifferent; unconcerned	无动于衷 wú dòng yú zhōng 
