abbreviation	prescurtare
abhorrent	odios
abnormal	anormal
absence	absență
absent	absent
absolute	absolut
absurd	absurd
abundance	abundență
accident	accident
accomplice	părtaș
accomplished	desăvârșit
accurate	exact
accusation	acuzație
accustomed	obișnuit
acquaintance	cunoștință
active	activ
actor	actor
actual	real
adequate	potrivit
admirable	admirabil
admiration	admirație
admission	admitere
adroit	îndemânatic
adult	adult
advancement	progres
advertisement	publicitate
affection	afecțiune
affectionate	afectuos
affliction	necaz
afraid	speriat
afternoon	după-amiază
age	vârstă
aggressive	agresiv
air	aer
airplane	avion
airport	aeroport
alive	viu
amazing	uimitor
ambassador	ambasador
amusing	distractiv
angel	înger
anger	mânie
angle	unghi
angry	furios
angry	supărat
animal	animal
annoying	enervant
answerer	răspunzător
ant	furnică
antibacterial	antibacterial
apartment	apartament
apparent	aparent
appearance	apariție
apple	măr
appointment	întâlnire
appropriate	potrivit
apron	șorț
arm	braț
army	armată
arrival	sosire
arrow	săgeată
artful	viclean
artifice	artificiu
artificial	artificial
ashtray	scrumieră
assurance	asigurare
atomic	atomic
atrocious	cumplit
attempt	încercare
attention	atenție
attentive	atent
attitude	atitudine
attractive	atrăgător
attributive	calificativ
aunt	mătușă
author	autor
autumn	toamnă
average	medie
baby	bebeluș
bachelor	holtei
back	spate
bacon	șuncă
badly behaved	neascultător
bad	rău
baker	brutar
bald	chel
ball	minge
banal	banal
bank	bancă
banner	stindard
bar	bară
barbarous	barbar
barber	frizer
bare	gol
basin	bazin
basket	coș
beach	plajă
beard	barbă
bearded	bărbos
bear	urs
beauty	frumusețe
bed	pat
bedroom	dormitor
bee	albină
beef	carne de vită
beginning	început
belief	credință
bell	clopot
belly	burtă
benefactor	binefăcător
berry	boabă
bet	pariu
betrayal	trădare
bewilderment	nedumerire
bird	pasăre
birth	naștere
bite	mușcătură
bitter	amar
black	negru
blameless	nevinovat
blind	orb
blood	sânge
bloody	însângerat
blue	albastru
blunt	bont
boat	ambarcație
body	corp
boisterous	gălăgios
boldness	îndrăzneală
bony	osos
book	carte
bookish	studios
bookkeeper	contabil
boot	gheată
border	graniță
boredom	plictiseală
boring	plicticos
bottle	sticlă
box	cutie
boy	băiat
bracelet	brățară
brain	creier
branch	ramură
brave	curajos
bread	pâine
breath	suflare
bribery	mită
bride	mireasă
bridge	pod
bright	luminos
broad	general
broom	m
brother	frate
brush	perie
brutal	brutal
burden	povară
burglar	spărgător
burrow	vizuină
business	afacere
busy	ocupat
butcher	măcelar
butterfly	fluture
butter	unt
button	buton
cage	cușcă
calf	vițel
camel	cămilă
candle	lumânare
canister	bidon
capable	capabil
cap	șapcă
careful	grijuliu
careless	nepăsător
car	mașină
carpet	carpetă
cart	șaretă
cat	pisică
caution	precauție
cave	peșteră
ceiling	tavan
cellar	pivniță
cement	ciment
cemetary	cimitir
century	secol
certain	sigur
chained	înlănțuit
chain	lanț
chairman	președinte
chair	scaun
chance	șansă
changeable	schimbător
changing	schimbător
channel	canal
chaos	haos
charge	atac
chariot	căruță
charitable	milos
charity	caritate
charm	farmec
charming	fermecător
charming	fermecător
cheek	obraz
chef	șef
cherry	cireașă
chest	piept
child	copil
childish	copilăros
chimney	cămin
chin	bărbie
chocolate	ciocolată
chorus	cor
chosen	ales
church	biserică
cinema	cinema
city	oraș
civil	civil
claw	gheară
clean	curat
clear	clar
cliff	faleză
climber	cățărător
clip	agrafă
cloak	manta
clock	ceas
closet	dulap
clothing	îmbrăcăminte
cloud	nor
clumsy, klutz	neîndemânatic
clumsy	neîndemânatic
coal	cărbune
coast	coastă
coat	haină
coffee	cafea
cold	rece
collection	colecție
collector	colecționar
color	culoare
colt	mânz
comb	pieptăne
comfortable	confortabil
command	ordin
common	comun
communicative	comunicativ
communicative	comunicativ
company	companie
compassionate	compătimitoar
complaint	plângere
complete	complet
compliance	încuviințare
componentă	component
concert	concert
conduct	conduită
confidence	încredere
confortabil	comfortable
conscience	conștiință
consciousness	conștiență
consecutive	consecutiv
considerable	considerabil
conspiracy	conspirație
conspirator	conspirator
constant	constant
constitutive	component
consul	consul
contemporary	contemporan
contempt	dispreț
contention	discordie
contentious	contestat
continuous	continuu
conversation	conversație
convulsive	convulsiv
copper	cupru
copy	copie
corner	colț
corn	porumb
corrective	correctiv
correlative	corelativ
counsel	dezbatere
country	țară
couple	cuplu
courage	curaj
course	curs
courteous	politicos
courtly	curtenitor
cousin	văr
cowardly	laș
cow	vacă
crafty	șmecher
crate	lădiță
crease	cută
crooked	îndoit
cross	cruce
crowbar	rangă
crowded	aglomerat
crowd	mulțime
cruel	crud
crust	crustă
cubic	cubic
cuckoo	cuc
cunning	viclenie
curious	curios
curl	buclă
curtain	perdea
customer	client
daily	zilnic
damage	daună
dampness	umiditate
dangerous	periculos
danger	pericol
dark	întunecat
date	dată
daughter	fiică
dawn	zori
day	zi
dazzling	orbitor
dead	mort
deal	afacere
dear	scump
death	moarte
debt	datorie
deceptive	înșelător
deck	punte
decrepit	ramolit
deed	faptă
deep	adânc
defensive	defensiv
definite	hotărât
definitive	definitiv
dejected	demoralizat
deliberative	deliberativ
delicate	delicat
delicious	delicios
denigrating	calomnios
departure	plecare
dependent	dependent
derision	derâdere
desire	dorință
desk	birou
detail	amănunt
devil	drac
dew	rouă
dexterous	îndemânatic
dictator	dictator
different	diferit
difficult	dificil
difficulty	dificultate
diligent	silitor
dinner	cină
dipper	polonic
direct	direct
direction	direcție
dirty	murdar
disagreeable	neplăcut
discreet	discret
disdain	dispreț
disease	maladie
disgrace	disgrație
disgust	dezgust
disgusting	dezgustător
dish	farfurie
dishonest	necinstit
disloyal	neloial
dismay	consternare
disobedient	neascultător
disorder	dezordine
disreputable	dezonorat
dissimilar	neasemănător
distance	distanță
distant	depărtat
distinct	distinct
distraught	îngrozit
diverse	divers
divine	divin
docile	docil
doctor	doctor
dog	câine
doll	păpușă
domestic	casnic
door	ușă
dot	punct
double	dublu
doubt	dubiu
doubtful	îndoielnic
dove	porumbiță
downcast	deprimat
dozen	duzină
draft	crochiu
drain	scurgere
dramatic	dramatic
drawer	desenator
dreadful	groaznic
dreadful	înfricoșător
dream	vis
dregs	drojdie
dress	rochie
drop	picătură
drought	secetă
drowsiness	moleșeală
drunk	beat
drunkenness	beție
dry	uscat
duck	rață
dust	praf
dusty	prăfuit
eager	nerăbdător
earnest	serios
earth	pământ
ear	ureche
easy	ușor
edge	margine
editor	editor
eel	anghilă
effort	efort
egg	ou
elaborate	complicat
elbow	cot
elective	electoral
electric	electric
elegant	elegant
elephant	elefant
empire	imperiu
employer	patron
empty	gol
encampment	tabără
encirclement	încercuire
end	sfârșit
endurance	rezistență
enormous	enorm
entertaining	distractiv
entire	întreg
entrance	intrare
equal	egal
equipment	echipament
essential	esențial
estate	proprietate
eternal	veșnic
evening	seară
event	eveniment
evident	evident
ewe	mioară
exact	exact
examination	examen
example	exemplu
excellent	excelent
exceptional	excepțional
excessive	excesiv
excitable	emotiv
exclusive	exclusiv
executive	executiv
exempt	scutit
exhaustion	epuizare
exhaustive	exhaustiv
explanation	explicație
expression	exprimare
extensive	extins
exterior	exterior
extraordinary	extraordinar
extravagant	extravagant
extreme	extrem
eyebrow	sprânceană
eye	ochi
fable	fabulă
face	față
facility	ușurință
fact	fapt
fairness	dreptate
faithful	fidel
falcon	șoim
fall	cădere
false	fals
family	familie
famished	înfometat
famous	renumit
farmer	fermier
farming	agricultură
fashion	modă
fastidious	mofturos
fatal	fatal
father	tată
fatigue	oboseală
faulty	defectuos
favorable	favorabil
fear	frică
fear	spaimă
feast	serbare
feebleness	slăbiciune
feeble	slab
felicitous	norocos
feminine	feminin
ferocious	feroce
fickle	nestatornic
field	câmp
fiery	fierbinte
fight	bătaie
film	film
filthiness	murdărie
filth	mizerie
financial	financiar
finger	deget
finicky	meticulos
finished	încheiat
fir	brad
firefly	licurici
fire	foc
fireplace	vatră
fireworls	artificii
fish	pește
fist	pumn
flag	steag
flannel	flanelă
flatness	netezime
flat	plat
flattery	măgulire
flesh	carne
fleshy	cărnos
flight	zbor
flood	inundație
floor	podea
flower	floare
foamy	spumos
fog	ceață
fold	cută
foolish	prostesc
fool	nechibzuit
foot	picior
forbidden	interzis
forehead	frunte
foreigner	străin
foreign	străin
foresight	previziune
forest	pădure
forgetful	distrat
fork	furculiță
fortunate	norocos
forward	dinainte
fossil	fosilă
fox	vulpe
fragile	fragil
freedom	libertate
free	liber
frequent	frecvent
freshness	prospețime
fresh	proaspăt
friendly	prietenos
friend	prieten
friendship	prietenie
frightened	înfricoșat
frightening	înfricoșător
frightful	înfricoșător
frog	broască
frugality	frugalitate
fruit	fruct
fugitive	evadat
full	plin
furniture	mobilă
furtive	furiș
game	joc
garage	garaj
gardener	grădinar
garden	grădină
gas	gaz
gate	poartă
generous	generos
ghost	fantomă
gigantic	uriaș
girder	grindă
girl	fată
giver	donator
glass	pahar
glorious	glorios
glove	mânușă
goat	capră
goddess	zeiță
gold	aur
goose	gâscă
governess	guvernantă
gracious	grațios
grandfather	bunic
grand	mare
grandmother	bunică
grandson	nepot
grape	strugure
grass	iarbă
grateful	recunoscător
gratuity	gratuitate
grave	mormânt
greedy	lacom
