abandoned	заброшенный
abandon	отказываться, покидать, прекращать
abate	уменьшить
abbey	Аббатство
abbreviation	сокращение
ABC	алфавит, азбука, букварь, начатки, основы
abide	ждать, терпеть
ability	способность (-y не от слова capable)
able	способный (-e)
aboard	на корабле, на борту, в вагоне
abode	местопребывание, жилище (не lodge)
abominable	отвратительный, противный
about	о
above	над, выше, наверху
abroad	за границей
abruptly	внезапно, резко, грубо
abrupt	резкий, внезапный, крутой, обрывистый
absence	отсутствие
absent	отсутствующий
absolutely	абсолютно, совершенно
absolute	совершенный, чистый
absorbed	увлечённый чем-либо
absorb	поглощать, всасывать, впитывать
absorption	Поглощение
abstract	отвлеченный, абстрактный
absurdity	нелепость
absurd	нелепый
abundance	богатство, изобилие
abundant	обильный
acacia	акация
accent	подчеркивать, произносить
accepted	принятый
accept	принимать
accessible	доступный
access	доступ, подход, доступность
accidentally	случайно, нечаянно
accidental	случайный, нечаянный
accident	несчастный случай
acclaim	провозглашать
accommodate	согласовывать, улаживать, примирять
accommodation	удобство, согласование
accompanying	сопровождающий
accompany	сопровождать
accomplice	сообщник
accomplished	Выполненный
accomplish	выполнять
accordance	согласованность, согласие, соответствие
accordingly	согласно
according	согласно
accord	согласие, гармония
accounts	счета
account	счет, оценка, причина
accuracy	точность, аккуратность
accurate	точный, правильный
accusation	обвинение
accused	обвиняемый
accuse	обвинять
accustomed	приученный
accustom	приучать
ache	боль
achievement	выполнение, достижение
achieve	достигать, успешно выполнять
acid	кислый, кислота (не sour)
acknowledged	подтвержденный
acknowledge	признавать, вознаграждать
acorn	желудь
acquaintance	знакомство, знакомый
acquired	приобретённый
acquire	приобретать
acquisition	приобретение
acquit	оправдывать
across	через
acted	действовал
acting	временно исполняющий обязанности, игра
action	действие, поступок
actively	активно, деятельно
active	активный
activity	деятельность, активность
actor	актер
actor	актер
actress	актриса
acts	действия
actually	фактически, в настоящее время
actual	текущий, современный
act	акт, дело, действовать
acute	острый, проницательный
adapted	Приспособленный
adapt	приспособить, переделать
additional	дополнительный
additions	Дополнения
addition	прибавление, сложение
address	адрес, обращение
add	добавлять, прибавлять
adept	знаток, сторонник
adequate	достаточный, соответствующий
adhere	прилипать, приставать ( to) , приклеиваться, хвататься
adjoining	смежный
adjustment	регулирование
adjust	регулировать, приспосабливать
administration	администрация
administrator	администратор
admirable	замечательный (не wonderful)
admiral	адмирал
admiration	восхищение
admired	восхищался (от admire)
admire	восхищаться
admiring	восхищающийся
admission	допуск, вход, прием
admittance	впуск, доступ
admitted	признанный(допущенный) 
admit	допускать
adopted	принятый 
adopt	принимать, присваивать
adore	обожать
adorn	украшать
adrift	по течению, по воле волн
ads	реклама
adults	взрослые (от adult)
adult	взрослый
advanced	передовой
advance	продвижение вперед, продвигать
advancing	продвижение
advantages	преимущества 
advantage	преимущество, выгода
adventurer	искатель приключений, авантюрист
adventure	рисковать, отваживаться
adventurous	отважный, предприимчивый (не undertaking)
adversary	противник
adversity	бедствие, несчастье
advertisement	объявление, реклама
advertise	помещать объявление, рекламировать
advice	cовет
advised	рекомендованный 
advise	советовать
advocate	отстаивать, защищать
aerial	воздушный, антенна
aeroplane	самолет
afar	далеко, вдали
affairs	делишки ((!NEW!))
affair	дело, занятие
affected	пораженный
affectionately	нежно 
affectionate	любящий, нежный
affections	привязанности 
affection	привязанность, любовь
affect	влиять, трогать, вредить
affirmative	утвердительный
afforded	предоставляемый
afford	позволить себе
affray	пугать
afore	перед
afraid	испуганный
afresh	снова, опять
afternoon	время после полудня
afterwards	впоследствии, позже
afterward	позже 
after	после
against	против
again	снова
aged	старый, в возрасте
agency	агентство
agent	деятель, исполнитель
age	век, возраст
aggregated	соединенный 
aggregate	совокупность
aggregation	скопление 
agitated	взволнованный (не thrilled)
agitation	агитация
agony	мучение, сильная боль
agreeable	приятный, милый
agreed	согласился (от agree)
agreement	согласие, соглашение
agree	соглашаться
agricultural	сельскохозяйственный
agriculture	сельское хозяйство
aha	ага 
ahead	вперед
aid	помощь
aileen	Эйлин 
ailing	больной
aim	целиться, цель
airborne	авиационный
airliner	лайнер
airport	аэропорт
air	воздушный, авиационный, проветривать
ajar	приоткрытый
alarm	тревога, (вс)тревожить (alarm)
alas	увы 
albert	альберт 
album	альбом
alec	алек 
alert	бдительный, проворный
alexis	алексис 
alfred	альфред 
Aliases	псевдонимы 
alias	псевдоним 
alibis	алиби 
alibi	алиби 
alight	выходить, спускаться
alignment	выравнивание, линия
alike	похожий
alive	живой
allegiance	преданность, верность
allen	аллен 
alley	аллея, переулок
allied	союзный, родственный
allocate	предназначать
allocation	распределение, назначение
allowance	дозволение, допущение (allowance)
allowing	разрешение
allows	позволяет 
allow	разрешать, разрешить
alloy	примесь, сплав
alluded	ссылался 
ally	союзник, соединять
all	все, весь
almond	миндаль, миндалина
almost	почти, едва не
aloft	наверху, наверх
alone	один, одинокий
alongside	рядом
along	вдоль
aloud	громко, вслух
alphabet	алфавит, азбука
already	уже
also	тоже, также
alteration	изменение, перемена
altered	измененный (не changed) 
alternate	переменный
alternative	альтернатива, выбор
alter	изменять
although	хотя
altitude	высота (не highness)
altogether	всего, в общем
always	всегда
amateur	любитель
amazed	изумлённый, поражённый (не wonder) ((!NEW!))
amazement	удивление, изумление
amazing	удивительный
amber	янтарь, янтарный
ambiguous	двусмысленный
ambition	честолюбие, желание
ambitious	честолюбивый
ambulance	полевой госпиталь, карета скорой помощи
amends	возмещение
amiable	любезный, милый
amid	между, посреди, среди ((!NEW!))
ammonia	аммиак
ammunition	боеприпасы
amongst	среди 
among	среди (не midst)
amorous	влюбленный, любовный
amount	количество, сумма, составлять (сумму)
ample	обширный, просторный
amusement	забава, развлечение
amuse	забавлять, развлекать
amusing	забавный, интересный
amy	Эми 
am	(я) есть (от be)
analogous	аналогичный 
analyse	анализировать, разбирать
analysis	анализ
ana	сборник изречений
ancestor	предок
anchor	якорь
ancient	древний
and	и
anew	снова, заново
angela	анжела 
Angeles	анхелес 
angel	ангел
anger	гнев, злость
angles	углы 
angle	угол, точка зрения
angrily	сердито (!NEW!)
angry	сердитый
anguish	страдание
animal	животное
animated	оживленный, анимированный
ankle	щиколотка, лодыжка
anna	анна 
Anne	Энн 
annihilation	уничтожение
anniversary	годовщина
announced	объявлял, объявленный (от announce)
announcement	объявление, сообщение
announce	объявлять
annoyance	раздражение 
annoy	досаждать, надоедать
annually	ежегодно
annual	годовой, ежегодный, ежегодник (не yearly)
anomaly	аномалия
anonymous	анонимный
another	еще один, другой
answered	ответил (от answer)
answer	ответ, отвечать
Antarctic	антарктический
anthony	Энтони 
anticipated	ожидаемый 
anticipate	предвидеть
antidote	противоядие
antique	древний (не ancient)
antiquity	древность
antony	Энтони 
ant	муравей
anvil	наковальня
anxiety	тревога, беспокойство
anxiously	тревожно ((!NEW!))
anxious	беспокойный
anyhow	во всяком случае
anyone	любой, всякий( утв предлож), кто-нибудь, никто (в отриц предлож)
anyway	во что бы то ни стало
anywhere	где-нибудь
an	неопределенный артикль (перед гласным звуком)
apartment	квартира
apartment	квартира
apart	в стороне, отдельно (не aside)
apes	обезьяны 
apex	верхушка, вершина (не peak)
ape	обезьяна (человекообразная)
apiece	за штуку, поштучно
apologies	извинения (от apology)
apologize	извиняться
apology	извинение
appalling	ужасный, плачевный
apparatus	аппарат
apparel	одевать, наряжать
apparently	явно, очевидно
apparent	видимый, очевидный
appeal	апелляция, апеллировать (юр.), обращаться
appearance	появление, внешность
appeared	появился (от appear)
appears	появляется 
appear	появляться
appendix	приложение, аппендикс (анат.)
appetite	аппетит, охота, желание
applause	аплодисменты
apples	яблоки (от apple)
Applet	апплет 
apple	яблоко
applications	заявления(применения) 
application	заявление, применение
applied	прикладной
apply	обращаться, применять
appointed	назначенный 
appointment	условленная встреча
appreciate	оценивать
approach	приближаться, подступ
approbation	одобрение (не approvement)
appropriate	подходящий, соответствующий
approval	одобрение
approve	одобрять
approximately	приблизительно
approximate	приблизительный
app	приложение 
apricot	абрикос
April	апрель
apron	фартук
apt	подходящий, уместный, склонный
arable	пахотный
arbitrary	произвольный
arbour	беседка, дерево, ось
arcadia	аркадия 
archaic	устарелый, архаический
arched	арочный 
archie	арчи 
archipelago	архипелаг 
architecture	архитектура
architect	архитектор
arch	арка, дуга
arctic	полярный, арктический
arc	дуга (мат.)
ardent	пылкий
ardour	жар, пыл, рвение
arduous	тяжелый, напряженный
area	площадь, район
are	есть (от be)
argue	спорить
arguments	аргументы(споры) 
argument	спор
arid	сухой, засушливый
arise	возникать, появляться
arithmetic	арифметика
armament	вооружение
armed	вооруженный
armies	армии 
armour	броня
arms	оружие
army	армия
arm	рука
arose	возник, появился ((!NEW!))
around	вокруг, по
aroused	разбуженный ((!NEW!))
arouse	будить, пробуждать
arrangements	меры (не measurements) 
arrangement	договоренность
arrange	устраивать, договариваться
array	массив, множество, наряжать, украшать
arrested	арестованный 
arrest	арестовывать, арест
arrival	прибытие
arrived	приехал, прибыл (от arrive)
arrive	приезжать
arriving	прибывающий
arrow	стрела
arson	поджог
artful	хитрый, ловкий
articles	предметы (от article)
article	статья, предмет, изделие
artificial	искусственный
artillery	артиллерия
artistic	художественный
artist	художник
arts	искусства 
Art	искусство
asa	аса 
ascent	восхождение, подъем
ascertained	установленный 
ascertain	установить, удостовериться
ashamed	пристыженный (!NEW!)
ashes	пепел 
ashore	на берег
ash	ясень
Asia	азия 
aside	в сторону
asked	просил, требовал (от ask)
asking	спрашивающий, просящий
asks	спрашивает (от ask)
ask	просить, спрашивать
asleep	спящий (не sleepy)
aspect	взгляд, точка зрения
assassination	убийство
assault	нападать, нападение
assembled	собранный 
assemble	созывать
assembly	собрание, ассамблея
asserted	утвержденный (не attested) 
asset	имущество
assigned	назначенный 
assignment	назначение
assign	назначать
assistance	помощь
assistant	помощник
assisted	помогал 
assist	помочь, помогать
associate	соединять, присоединять
association	ассоциация, соединение
assortment	выбор, ассортимент
assumed	принятый (не adopted) 
assume	принимать на себя
assumption	предположение
assurance	заверение, уверенность
assured	уверенный, застрахованный (!NEW!)
assure	уверять, обеспечивать
ass	осел (библ.)
asterisk	звездочка
astonished	удивленный (!NEW!)
astonishing	удивительный
astonishment	удивление, изумление
astronomy	астрономия
as	как, так, в то время как
ate	ел, съел (от eat)
athlete	спортсмен, атлет
